书名,授权级别,作品类别,本周点击,本月点击,本周更新,本月更新,周推荐票,月推荐票,人次,字数,更新天数
源起仙路,驻站作品,古典仙侠,10,24,3295,16782,0,0,24,22289,目前在拼命写作中
天呐，我变成了哈士奇！,签约作品,奇幻修真,45,444,26748,215651,0,15,1844,671492,100
你们争霸我种田,签约作品,西方奇幻,12,96,10469,82624,21,61,130,128898,35
佛缘阴阳,驻站作品,奇幻修真,4,4,2419,2419,0,0,4,2425,目前在拼命写作中
时光游戏坊,签约作品,未来幻想,47,239,12191,82419,23,114,7129,1313915,416
落魄后的重生,驻站作品,都市生活,14,26,12595,26836,0,0,26,27017,5
上门龙婿：我的傻白甜老婆,签约作品,都市生活,90,594,6255,162205,0,1,650,209065,31
在我背后吃灰吧,签约作品,东方玄幻,7,37,9244,60830,0,0,61,99896,43
重生之创业人生,签约作品,都市生活,1869,17211,23702,182956,7,51,332703,3861268,561
武神归位,驻站作品,古典仙侠,3,22,9249,30666,0,0,22,31037,4
金牌武婿,签约作品,东方玄幻,19,185,20519,123140,21,42,1350,725600,106
西游：这个猴子有点强,签约作品,东方玄幻,120,433,29895,244527,0,0,617,299048,41
网游之法神崛起,签约作品,虚拟网游,134,1160,19142,133949,0,21,3680,497258,105
魔法世界的魔法书,驻站作品,异界大陆,13,13,7297,7297,0,0,13,9600,3
地狱锁魂者,授权作品,恐怖悬疑,9,11,13184,15315,0,0,11,15315,4
神树领主,签约作品,东方玄幻,108,725,17824,140508,106,537,58933,1862971,448
风行九域,驻站作品,东方玄幻,23,29,15254,18361,0,0,29,18371,4
僵尸宠物,驻站作品,东方玄幻,21,21,14758,14758,21,21,21,12499,3
逆世之行,驻站作品,东方玄幻,7,13,23058,31426,0,0,13,31426,4
山村棺材铺,签约作品,恐怖悬疑,16,142,22458,158859,0,0,147,161579,25
邪的女友,驻站作品,侦探推理,26,26,14360,14360,0,0,26,16310,3
神剑飞仙,专属作品,国术古武,3,29,10251,62497,0,0,122,253586,4
我就是豪门,签约作品,都市生活,14,117,28477,183024,0,0,3507,834615,20
成首富从享受生活开始,签约作品,都市生活,37,487,14817,111414,18,69,2193,336091,37
人过三十,签约作品,现实题材,82,475,14825,97487,0,21,580,148709,48
遥控器之精神控制,驻站作品,未来幻想,10,70,17092,79616,0,2,70,79621,21
网游末世：神宠融合系统,签约作品,末世危机,75,156,29420,154870,0,6,178,173438,34
洪荒妖尊,授权作品,异界大陆,25,91,15010,60886,5,8,553,346573,12
我在天庭收垃圾,签约作品,都市异能,110,1113,8179,104578,0,0,3850,678293,15
凡途归真之紫琊传,签约作品,古典仙侠,27,236,34583,233743,0,0,12803,1893672,28
